18fb8;5f08;8488
18fb8;191bd8;18ffb8
1a728;5f08;39808
1a728;1b36e8;18ffb8
1be98;5f08;67348
1be98;1d7778;18ffb8
1d608;5f08;91fa8
1d608;1fdd88;18ffb8
1ed78;5f08;ba1d8
1ed78;226468;18ffb8
204e8;5f08;dfe88
204e8;250768;18ffb8
21c58;1df68;103a68
21c58;266248;18ffb8
233c8;4baa8;125ed8
233c8;266248;18ffb8
24b38;76bb8;146bd8
24b38;266248;18ffb8
262a8;a00a8;148348
262a8;266248;1b0cb8
27a18;c7e28;148348
27a18;266248;1d56a8
29188;ee8e8;148348
29188;266248;1fcf78
2a8f8;114ef8;148348
2a8f8;266248;227728
2c068;13b058;148348
2c068;266248;255bc8
