OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
-1.0,0,7,-33.0,2534.0,ffffc458,2ec528
-1.0,0,8,-32.0,2629.0,ffffc908,308278
-1.0,0,9,-31.0,2723.0,ffffcdb8,323b18
-1.0,0,10,-30.0,2818.0,ffffd268,33f868
-1.0,0,11,-29.0,2912.0,ffffd718,35b108
-1.0,0,12,-28.0,3006.0,ffffdbc8,3769a8
-1.0,0,13,-27.0,3101.0,ffffe078,3926f8
-1.0,0,14,-26.0,3195.0,ffffe528,3adf98
-1.0,0,15,-25.0,3290.0,ffffe9d8,3c9ce8
-1.0,0,16,-24.0,3384.0,ffffee88,3e5588
-1.0,0,17,-23.0,3478.0,fffff338,400e28
-1.0,0,18,-22.0,3573.0,fffff7e8,41cb78
-1.0,0,19,-21.0,3667.0,fffffc98,438418
-1.0,0,20,-20.0,3762.0,148,454168
-1.0,0,21,-19.0,3856.0,5f8,46fa08
-1.0,0,22,-18.0,3951.0,aa8,48b758
-1.0,0,23,-17.0,4045.0,f58,4a6ff8
-1.0,0,24,-16.0,4140.0,1408,4c2d48
-1.0,0,25,-15.0,4234.0,18b8,4de5e8
-1.0,0,26,-14.0,4329.0,1d68,4fa338
-1.0,0,27,-13.0,4423.0,2218,515bd8
-1.0,0,28,-12.0,4518.0,26c8,531928
-1.0,0,29,-11.0,4612.0,2b78,54d1c8
-1.0,0,30,-10.0,4707.0,3028,568f18
-1.0,0,31,-9.0,4801.0,34d8,5847b8
-1.0,0,32,-8.0,4896.0,3988,5a0508
-1.0,0,33,-7.0,4991.0,3e38,5bc258
-1.0,0,34,-6.0,5085.0,42e8,5d7af8
-1.0,0,35,-5.0,5180.0,4798,5f3848
-1.0,0,36,-4.0,5274.0,4c48,60f0e8
-1.0,0,37,-3.0,5369.0,50f8,62ae38
-1.0,0,38,-2.0,5464.0,55a8,646b88
-1.0,0,39,-1.0,5558.0,5a58,662428
-1.0,0,40,0.0,5653.0,5f08,67e178
-1.0,0,41,1.0,5748.0,63b8,699ec8
-1.0,0,42,2.0,5842.0,6868,6b5768
-1.0,0,43,3.0,5937.0,6d18,6d14b8
-1.0,0,44,4.0,6032.0,71c8,6ed208
-1.0,0,45,5.0,6126.0,7678,708aa8
-1.0,0,46,6.0,6221.0,7b28,7247f8
-1.0,0,47,7.0,6316.0,7fd8,740548
-1.0,0,48,8.0,6410.0,8488,75bde8
-1.0,0,49,9.0,6505.0,8938,777b38
-1.0,0,50,10.0,6600.0,8de8,793888
-1.0,0,51,11.0,6695.0,9298,7af5d8
-1.0,0,52,12.0,6789.0,9748,7cae78
-1.0,0,53,13.0,6884.0,9bf8,7e6bc8
-1.0,0,54,14.0,6979.0,a0a8,802918
-1.0,0,55,15.0,7073.0,a558,81e1b8
-1.0,0,56,16.0,7168.0,aa08,839f08
-1.0,0,57,17.0,7263.0,aeb8,855c58
-1.0,0,58,18.0,7358.0,b368,8719a8
-1.0,0,59,19.0,7453.0,b818,88d6f8
-1.0,0,60,20.0,7547.0,bcc8,8a8f98
-1.0,0,61,21.0,7642.0,c178,8c4ce8
-1.0,0,62,22.0,7737.0,c628,8e0a38
-1.0,0,63,23.0,7832.0,cad8,8fc788
-1.0,0,64,24.0,7927.0,cf88,9184d8
-1.0,0,65,25.0,8021.0,d438,933d78
-1.0,0,66,26.0,8116.0,d8e8,94fac8
-1.0,0,67,27.0,8211.0,dd98,96b818
-1.0,0,68,28.0,8306.0,e248,987568
-1.0,0,69,29.0,8401.0,e6f8,9a32b8
-1.0,0,70,30.0,8496.0,eba8,9bf008
-1.0,0,71,31.0,8590.0,f058,9da8a8
