OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
-1.0,0,8,-32.0,2290.0,ffffc908,2a4d68
-1.0,0,9,-31.0,2375.0,ffffcdb8,2bdbd8
-1.0,0,10,-30.0,2460.0,ffffd268,2d6a48
-1.0,0,11,-29.0,2544.0,ffffd718,2ef408
-1.0,0,12,-28.0,2629.0,ffffdbc8,308278
-1.0,0,13,-27.0,2714.0,ffffe078,3210e8
-1.0,0,14,-26.0,2799.0,ffffe528,339f58
-1.0,0,15,-25.0,2883.0,ffffe9d8,352918
-1.0,0,16,-24.0,2968.0,ffffee88,36b788
-1.0,0,17,-23.0,3053.0,fffff338,3845f8
-1.0,0,18,-22.0,3137.0,fffff7e8,39cfb8
-1.0,0,19,-21.0,3222.0,fffffc98,3b5e28
-1.0,0,20,-20.0,3307.0,148,3cec98
-1.0,0,21,-19.0,3392.0,5f8,3e7b08
-1.0,0,22,-18.0,3476.0,aa8,4004c8
-1.0,0,23,-17.0,3561.0,f58,419338
-1.0,0,24,-16.0,3646.0,1408,4321a8
-1.0,0,25,-15.0,3731.0,18b8,44b018
-1.0,0,26,-14.0,3815.0,1d68,4639d8
-1.0,0,27,-13.0,3900.0,2218,47c848
-1.0,0,28,-12.0,3985.0,26c8,4956b8
-1.0,0,29,-11.0,4069.0,2b78,4ae078
-1.0,0,30,-10.0,4158.0,3028,4c81a8
-1.0,0,31,-9.0,4250.0,34d8,4e30e8
-1.0,0,32,-8.0,4342.0,3988,4fe028
-1.0,0,33,-7.0,4433.0,3e38,518ab8
-1.0,0,34,-6.0,4525.0,42e8,5339f8
-1.0,0,35,-5.0,4617.0,4798,54e938
-1.0,0,36,-4.0,4708.0,4c48,5693c8
-1.0,0,37,-3.0,4800.0,50f8,584308
-1.0,0,38,-2.0,4892.0,55a8,59f248
-1.0,0,39,-1.0,4983.0,5a58,5b9cd8
-1.0,0,40,0.0,5075.0,5f08,5d4c18
-1.0,0,41,1.0,5167.0,63b8,5efb58
-1.0,0,42,2.0,5259.0,6868,60aa98
-1.0,0,43,3.0,5350.0,6d18,625528
-1.0,0,44,4.0,5442.0,71c8,640468
-1.0,0,45,5.0,5534.0,7678,65b3a8
-1.0,0,46,6.0,5626.0,7b28,6762e8
-1.0,0,47,7.0,5718.0,7fd8,691228
-1.0,0,48,8.0,5810.0,8488,6ac168
-1.0,0,49,9.0,5901.0,8938,6c6bf8
-1.0,0,50,10.0,5993.0,8de8,6e1b38
-1.0,0,51,11.0,6085.0,9298,6fca78
-1.0,0,52,12.0,6177.0,9748,7179b8
-1.0,0,53,13.0,6269.0,9bf8,7328f8
-1.0,0,54,14.0,6361.0,a0a8,74d838
